Concertación,Liquidación,Plazo,Deudor,Fondo,Contraparte,Especie,Cantidad,Tasa,Precio,Monto,Tasa Aplicada,Interés,Interés Diario,Ajuste,A Cobrar,Estado,Observaciones,Pasado a vencidos
2025-07-22,2025-08-21,30.0,Rowing,Renta Dólar,Options,AL30D (5921),1320000,,,,,,,,,Renovado,Renovacion,
2025-07-22,2025-08-21,30.0,Rowing,Gestion,Criteria,TX26 (5925),380000000,,,,,,,,,Renovado,Renovacion,
2025-07-29,2025-10-28,91.0,Ramiro Negro (30645),Capital,Invertir en Bolsa,BPC7D (9236),1630000,0.02,0.96570909,1574105.8167,0.004986301369863014,7848.965990120549,86.25237351780822,0.0040098794515870395,7848.97,Renovado,Renovacion,
2025-07-29,2025-10-28,91.0,Ramiro Negro (30645),Capital,Invertir en Bolsa,BPC7D (9236),1630000,0.02,,,0.004986301369863014,,,,,Renovado,Renovacion,
2025-08-04,2025-08-18,14.0,,Performance,BIND,AL30 (5921),4929000,0.0175,704.5,3472480500.0,0.0006712328767123288,2330843.075342466,166488.79109589042,0.004657533951103687,2330843.08,Renovado,Renovacion,
2025-08-12,2025-09-11,30.0,RSC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,2026-09-12
2025-08-12,2025-09-11,30.0,EGESAC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,2026-09-12
2025-08-18,2025-08-25,7.0,BIND,Performance,BIND,AL30 (5921),4929000,0.0175,784.9,3868772100.0,0.0003356164383561644,1298423.5130136989,185489.07328767126,-0.003013698849827051,1298423.51,Renovado,Renovacion,
2025-08-21,2025-09-22,32.0,Rowing,Renta Dólar,Options,AL30D (5921),1320000,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,
2025-08-21,2025-09-22,32.0,Rowing,Gestion,Criteria,TX26 (5925),380000000,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-09-30
2025-08-25,2025-09-01,7.0,BIND,Performance,BIND,AL30 (5921),4929000,0.0175,795.2,3919540800.0,0.0003356164383561644,1315462.3232876714,187923.18904109593,-0.0032876713667064905,1315462.32,Renovado,Renovacion,
2025-09-01,2025-09-17,16.0,BIND,Performance,BIND,AL30 (5921),4929000,0.0175,,,0.000767123287671233,,,,,Cancelado,Cancelacion,
2025-09-11,2025-10-13,32.0,RSC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-10-14
2025-09-11,2025-10-13,32.0,EGESAC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-10-14
2025-09-22,2025-10-22,30.0,Rowing,Gestion,Criteria,TX26 (5925),380000000,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,2026-10-31
2025-09-22,2025-10-22,30.0,Rowing,Renta Dólar,Options,AL30D (5921),1320000,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,
2025-10-13,2025-11-13,31.0,RSC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002547945205479452,,,,,Renovado,Renovacion,2026-11-14
2025-10-13,2025-11-13,31.0,EGESAC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002547945205479452,,,,,Renovado,Renovacion,2026-11-14
2025-10-23,2025-11-05,13.0,Rowing,Gestion,Criteria,TX26 (5925),380000000,0.03,,,0.0010684931506849315,,,,,Renovado,Renovacion,2026-11-28
2025-10-23,2025-11-22,30.0,Rowing,Renta Dólar,Options,AL30D (5921),1320000,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,
2025-10-28,2026-01-28,92.0,Ramiro Negro (30645),Capital,Invertir en Bolsa,BPC7D (9236),1630000,0.02,0.996555543,1624385.5350900001,0.005041095890410959,8188.683245385207,89.00742658027399,-0.0032453852063554223,8188.68,Renovado,Renovacion,
2025-11-03,2025-12-03,30.0,Rowing,Gestion,Options,TTM26 (9319),5750000000,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,2026-12-30
2025-11-13,2025-12-15,32.0,EGESAC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-12-16
2025-11-13,2025-12-15,32.0,RSC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-12-16
2025-11-26,2025-12-26,30.0,Rowing,Renta Dólar,Options,AL30D (5921),1320000,0.03,,,0.002465753424657534,,,,,Cancelado,CANCELACION ANTICIPADA 18/12/2025,
2025-12-03,2026-01-05,33.0,Rowing,Gestion,Option,TTM26 (9319),5750000000,0.03,,,0.0027123287671232876,,,,,Renovado,Renovacion,2026-01-29
2025-12-15,2026-01-15,31.0,RSC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002547945205479452,,,,,Renovado,Renovacion,2026-01-16
2025-12-15,2026-01-15,31.0,EGESAC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002547945205479452,,,,,Renovado,Renovacion,2026-01-16
2026-01-05,2026-02-05,31.0,Rowing,Gestion,Option,TTM26 (9319),5750000000,0.03,,,0.002547945205479452,,,,,Renovado,Renovacion,2026-02-27
2026-01-15,2026-02-16,32.0,RSC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-02-24
2026-01-15,2026-02-16,32.0,EGESAC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-02-24
2026-01-28,2026-04-28,90.0,Ramiro Negro (30645),Capital,Invertir en Bolsa,BPC7D (9236),1630000,0.02,1.03462564,1686439.7932,0.004931506849315068,8316.689391123287,92.40765990136985,0.0006088767131586792,8316.69,Renovado,Renovacion,
2026-02-05,2026-03-05,28.0,Rowing,Gestion,Option,TTM26 (9319),5750000000,0.03,,,0.0023013698630136984,,,,,Cancelado,Cancelado,2026-03-31
2026-02-16,2026-03-18,30.0,RSC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002465753424657534,,,,,Cancelado,Cancelado,2026-03-20
2026-02-16,2026-03-18,30.0,EGESAC,Gestion,Criteria,TZXM6 (9257),449360500,0.03,,,0.002465753424657534,,,,,Cancelado,Cancelado,2026-03-20
2026-03-04,2026-04-06,33.0,Rowing,Gestion,Option,TTS26 (9321),1400000,0.03,,,0.0027123287671232876,,,,,Cancelado,Cancelado,2026-05-28
2026-03-04,2026-04-06,33.0,Rowing,Gestion,Option,TTSJ6 (9320),4000000,0.03,,,0.0027123287671232876,,,,,Cancelado,Cancelado,2026-05-28
2026-04-06,2026-05-06,30.0,Rowing,Gestion,Option,TTS26 (9321),1400000,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,2026-05-28
2026-04-06,2026-05-06,30.0,Rowing,Gestion,Option,TTSJ6 (9320),4000000,0.03,,,0.002465753424657534,,,,,Renovado,Renovacion,2026-05-28
2026-04-28,2026-07-28,91.0,Ramiro Negro (30645),Capital,Invertir en Bolsa,BPC7D (9236),1630000,0.02,1.0300506,1678982.4780000001,0.004986301369863014,8371.912630027398,91.99903989041097,-0.002630027398481616,8371.91,Renovado,Renovacion,2026-08-04
2026-05-07,2026-06-08,32.0,Rowing,Gestion,Option,TTS26 (9321),1400000,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-06-30
2026-05-07,2026-06-08,32.0,Rowing,Gestion,Option,TTJ6 (9320),4000000,0.03,,,0.00263013698630137,,,,,Renovado,Renovacion,2026-06-30
2026-06-08,2026-06-22,14.0,Rowing,Gestion,Option,TTJ26 (9320),4000000,0.03,,,0.0011506849315068492,,,,,Cancelado,Cancelado,2026-06-30
2026-06-22,2026-07-21,29.0,Rowing,Gestion,Option,TTD26 (9323),3016393349,0.03,,,0.0023835616438356165,,,,,Renovado,Renovacion,2026-07-30
2026-06-22,2026-07-21,29.0,Rowing,Gestion,Option,TTS26 (9321),2500000000,0.03,,,0.0023835616438356165,,,,,Renovado,Renovacion,2026-07-30
2026-07-21,2026-08-21,31.0,Rowing,Gestion,Option,TTD26 (9323),3016393349,0.03,,,0.002547945205479452,,,,,Renovado,Renovacion,2026-08-31
2026-07-28,2026-10-28,92.0,Ramiro Negro (30645),Capital,Invertir en Bolsa,BPC7D (9236),1630000,0.02,,,0.005041095890410959,,,,,Vigente,,
2026-08-07,2026-09-09,33.0,Rowing,Gestion,Option,TTS26 (9321),2500000000,0.03,,,0.0027123287671232876,,,,,Cancelado,Cancelado FALTA PAGO,
2026-08-21,2026-09-20,30.0,Rowing,Gestion,Option,TTD26 (9323),3016393349,0.03,,,0.002465753424657534,,,,,Cancelado,Cancelado FALTA PAGO,
2026-09-04,2026-10-05,31.0,EGESAC,Gestion,Criteria,TMVE8 (9424),1700000,0.03,,,0.002547945205479452,,,,,Vigente,,
2026-09-04,2026-10-05,31.0,RSC,Gestion,Criteria,TMVE8 (9424),1700000,0.03,,,0.002547945205479452,,,,,Vigente,,
